-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG          |Name         |Ion         |Line      |Lam_lab |Wght|Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG278.8+04.9|PB 6         |N^+         |[N II]    |6548.10 |1   |4.22477e-05 |-1.64180e-06|1.41947e-06 
PNG278.8+04.9|PB 6         |N^+         |[N II]    |6583.50 |3   |4.42613e-05 |-1.87943e-06|1.85053e-06 
PNG278.8+04.9|PB 6         |O^0         |[O I]     |6300.34 |3   |6.45634e-06 |-2.40144e-07|2.03311e-07 
PNG278.8+04.9|PB 6         |O^0         |[O I]     |6363.78 |1   |6.94708e-06 |-2.73333e-07|2.55350e-07 
PNG278.8+04.9|PB 6         |O^+         |[O II]    |3726.03 |1   |4.92764e-05 |-1.42110e-06|1.64036e-06 
PNG278.8+04.9|PB 6         |O^2+        |[O III]   |4958.91 |1   |1.37832e-04 |-9.66438e-07|8.45512e-07 
PNG278.8+04.9|PB 6         |O^2+        |[O III]   |5006.84 |3   |1.47730e-04 |-2.06981e-06|1.83712e-06 
PNG278.8+04.9|PB 6         |Ne^2+       |[Ne III]  |3868.75 |3   |3.64510e-05 |-8.96674e-07|1.05324e-06 
PNG278.8+04.9|PB 6         |Ne^2+       |[Ne III]  |3967.46 |1   |4.32718e-05 |-9.18319e-07|1.09965e-06 
PNG278.8+04.9|PB 6         |Ne^3+       |[Ne IV]   |4724.15 |1   |2.82501e-04 |-1.47692e-05|1.34168e-05 
PNG278.8+04.9|PB 6         |S^+         |[S II]    |6716.44 |1   |3.86743e-07 |-1.61526e-08|1.55615e-08 
PNG278.8+04.9|PB 6         |S^+         |[S II]    |6730.82 |1   |3.86941e-07 |-1.57561e-08|1.39300e-08 
PNG278.8+04.9|PB 6         |S^2+        |[S III]   |6312.10 |1   |2.22875e-06 |-8.19993e-08|7.17855e-08 
PNG278.8+04.9|PB 6         |Cl^2+       |[Cl III]  |5517.66 |1   |2.93527e-08 |-1.19918e-09|1.05345e-09 
PNG278.8+04.9|PB 6         |Cl^2+       |[Cl III]  |5537.60 |1   |2.93502e-08 |-9.22896e-10|7.74012e-10 
PNG278.8+04.9|PB 6         |Ar^2+       |[Ar III]  |7135.80 |1   |5.40952e-07 |-2.58195e-08|2.31702e-08 
PNG278.8+04.9|PB 6         |Ar^3+       |[Ar IV]   |4711.37 |1   |7.81728e-07 |-5.75737e-09|6.08066e-09 
PNG278.8+04.9|PB 6         |Ar^3+       |[Ar IV]   |4740.17 |1   |7.20515e-07 |-4.45797e-09|5.07982e-09 
PNG278.8+04.9|PB 6         |Ar^4+       |[Ar V]    |4625.53 |1   |4.08167e-07 |-1.22400e-07|1.17676e-07 
PNG278.8+04.9|PB 6         |Ar^4+       |[Ar V]    |7005.67 |72  |3.71082e-07 |-1.75257e-08|1.64909e-08 
PNG278.8+04.9|PB 6         |Fe^2+       |[Fe III]  |4607.03 |1   |5.83343e-07 |-4.82849e-08|4.56895e-08 
PNG278.8+04.9|PB 6         |Fe^2+       |[Fe III]  |4881.11 |2   |5.35267e-08 |-1.48419e-08|1.43739e-08 
PNG278.8+04.9|PB 6         |Fe^2+       |[Fe III]  |5270.40 |2   |6.42092e-08 |-1.04432e-08|1.08190e-08 
PNG017.9-04.8|M 3-30       |N^+         |[N II]    |6548.10 |1   |8.90760e-06 |-1.57625e-07|1.84993e-07 
PNG017.9-04.8|M 3-30       |N^+         |[N II]    |6583.50 |3   |9.72363e-06 |-1.39685e-07|1.64186e-07 
PNG017.9-04.8|M 3-30       |O^+         |[O II]    |3726.03 |1   |2.11174e-05 |-2.54421e-07|2.59896e-07 
PNG017.9-04.8|M 3-30       |O^+         |[O II]    |3728.82 |1   |1.79790e-05 |-2.17565e-07|2.10170e-07 
PNG017.9-04.8|M 3-30       |O^2+        |[O III]   |4958.91 |1   |2.59350e-04 |-1.67715e-06|1.58389e-06 
PNG017.9-04.8|M 3-30       |O^2+        |[O III]   |5006.84 |3   |2.61774e-04 |-2.28183e-06|2.54532e-06 
PNG017.9-04.8|M 3-30       |Ne^2+       |[Ne III]  |3868.75 |1   |9.36814e-05 |-9.82057e-07|9.91164e-07 
PNG017.9-04.8|M 3-30       |S^+         |[S II]    |6716.44 |1   |4.11937e-07 |-6.40232e-09|7.59215e-09 
PNG017.9-04.8|M 3-30       |S^+         |[S II]    |6730.82 |1   |4.12068e-07 |-6.14774e-09|7.35392e-09 
PNG017.9-04.8|M 3-30       |S^2+        |[S III]   |6312.10 |1   |5.05914e-06 |-1.16324e-07|1.35697e-07 
PNG017.9-04.8|M 3-30       |Cl^2+       |[Cl III]  |5517.66 |1   |6.34852e-08 |-3.25778e-09|3.37282e-09 
PNG017.9-04.8|M 3-30       |Cl^2+       |[Cl III]  |5537.60 |1   |5.65872e-08 |-3.80042e-09|3.99832e-09 
PNG017.9-04.8|M 3-30       |Ar^2+       |[Ar III]  |7135.80 |1   |1.52199e-06 |-2.59880e-08|2.80008e-08 
PNG017.9-04.8|M 3-30       |Ar^3+       |[Ar IV]   |4711.37 |1   |5.48550e-07 |-1.45271e-08|1.43445e-08 
PNG017.9-04.8|M 3-30       |Ar^3+       |[Ar IV]   |4740.17 |1   |5.48998e-07 |-1.64210e-08|1.59099e-08 
PNG017.9-04.8|M 3-30       |Fe^2+       |[Fe III]  |4607.03 |1   |2.17899e-06 |-3.67559e-07|3.79787e-07 
PNG003.1+02.9|Hb 4 (shell) |N^+         |[N II]    |6548.10 |1   |2.55611e-05 |-2.63462e-07|2.27065e-07 
PNG003.1+02.9|Hb 4 (shell) |N^+         |[N II]    |6583.50 |3   |2.69450e-05 |-2.68254e-07|2.59460e-07 
PNG003.1+02.9|Hb 4 (shell) |O^0         |[O I]     |6300.34 |3   |1.16746e-05 |-9.72679e-08|1.05923e-07 
PNG003.1+02.9|Hb 4 (shell) |O^0         |[O I]     |6363.78 |1   |1.23402e-05 |-1.65720e-07|1.65654e-07 
PNG003.1+02.9|Hb 4 (shell) |O^+         |[O II]    |3726.03 |2   |2.83599e-05 |-2.02821e-07|2.05741e-07 
PNG003.1+02.9|Hb 4 (shell) |O^+         |[O II]    |3728.82 |1   |3.63581e-05 |-2.45181e-07|2.47650e-07 
PNG003.1+02.9|Hb 4 (shell) |O^2+        |[O III]   |4958.91 |1   |5.60056e-04 |-2.16715e-06|2.14561e-06 
PNG003.1+02.9|Hb 4 (shell) |O^2+        |[O III]   |5006.84 |3   |5.60298e-04 |-2.04534e-06|2.00101e-06 
PNG003.1+02.9|Hb 4 (shell) |Ne^2+       |[Ne III]  |3868.75 |1   |8.25832e-05 |-5.66444e-07|4.65882e-07 
PNG003.1+02.9|Hb 4 (shell) |S^+         |[S II]    |6716.44 |1   |7.10462e-07 |-7.45733e-09|7.12289e-09 
PNG003.1+02.9|Hb 4 (shell) |S^+         |[S II]    |6730.82 |2   |7.10452e-07 |-6.93723e-09|6.78224e-09 
PNG003.1+02.9|Hb 4 (shell) |S^2+        |[S III]   |6312.10 |1   |9.20068e-06 |-6.26483e-08|7.38834e-08 
PNG003.1+02.9|Hb 4 (shell) |Cl^2+       |[Cl III]  |5517.66 |1   |9.65996e-08 |-4.05391e-09|3.84154e-09 
PNG003.1+02.9|Hb 4 (shell) |Cl^2+       |[Cl III]  |5537.60 |1   |9.65831e-08 |-2.62571e-09|2.78850e-09 
PNG003.1+02.9|Hb 4 (shell) |Ar^2+       |[Ar III]  |7135.80 |1   |2.46361e-06 |-2.55560e-08|2.50626e-08 
PNG003.1+02.9|Hb 4 (shell) |Ar^3+       |[Ar IV]   |4711.37 |1   |6.80393e-07 |-2.22168e-08|2.19129e-08 
PNG003.1+02.9|Hb 4 (shell) |Ar^3+       |[Ar IV]   |4740.17 |1   |7.63590e-07 |-8.23275e-09|8.97291e-09 
PNG003.1+02.9|Hb 4 (shell) |Ar^4+       |[Ar V]    |7005.67 |1   |1.12059e-08 |-1.26795e-09|1.14174e-09 
PNG003.1+02.9|Hb 4 (shell) |Fe^2+       |[Fe III]  |4733.91 |1   |6.72283e-07 |-2.18180e-07|2.08642e-07 
PNG003.1+02.9|Hb 4 (shell) |Fe^2+       |[Fe III]  |5270.40 |8   |1.54810e-07 |-3.18459e-08|3.20035e-08 
