-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG          |Name         |Ion         |Line      |Lam_lab |Wght|Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG278.8+04.9|PB 6         |He^+        |He I      |4471.50 |1   |4.50766e-02 |-7.81163e-04|6.51105e-04 
PNG278.8+04.9|PB 6         |He^+        |He I      |5875.66 |3   |4.67047e-02 |-6.40180e-04|5.69415e-04 
PNG278.8+04.9|PB 6         |He^+        |He I      |6678.16 |1   |4.33800e-02 |-1.22894e-03|9.64190e-04 
PNG278.8+04.9|PB 6         |He^2+       |He II     |4685.68 |1   |1.02838e-01 |-3.54192e-04|3.42833e-04 
PNG278.8+04.9|PB 6         |C^2+        |C II      |6461.95 |1   |3.54578e-04 |-1.96979e-05|2.20560e-05 
PNG278.8+04.9|PB 6         |N^2+        |N II      |4613.87 |1   |7.21667e-04 |-1.96154e-04|1.65257e-04 
PNG278.8+04.9|PB 6         |N^2+        |N II      |4788.13 |2   |5.22084e-03 |-2.83481e-04|2.42458e-04 
PNG278.8+04.9|PB 6         |N^2+        |N II      |5676.02 |3   |4.04346e-03 |-1.14557e-04|9.42571e-05 
PNG278.8+04.9|PB 6         |N^2+        |N II      |5931.78 |2   |2.17150e-03 |-1.14647e-04|9.37122e-05 
PNG278.8+04.9|PB 6         |N^3+        |N III     |4640.64 |1   |3.30987e-04 |-1.99770e-05|1.92276e-05 
PNG278.8+04.9|PB 6         |O^2+        |O II      |4491.23 |1   |6.23824e-04 |-1.56648e-04|1.24468e-04 
PNG017.9-04.8|M 3-30       |He^+        |He I      |4471.50 |1   |7.57282e-02 |-1.43273e-03|1.46393e-03 
PNG017.9-04.8|M 3-30       |He^+        |He I      |5875.66 |4   |8.72163e-02 |-4.75103e-04|5.62355e-04 
PNG017.9-04.8|M 3-30       |He^+        |He I      |6678.16 |1   |8.49128e-02 |-8.04326e-04|1.06626e-03 
PNG017.9-04.8|M 3-30       |He^2+       |He II     |4685.68 |1   |6.52750e-02 |-1.44392e-04|1.24299e-04 
PNG017.9-04.8|M 3-30       |C^2+        |C II      |6461.95 |1   |1.68116e-03 |-1.10144e-04|1.05001e-04 
PNG017.9-04.8|M 3-30       |N^2+        |N II      |4601.48 |1   |3.91169e-03 |-3.47440e-04|3.97894e-04 
PNG017.9-04.8|M 3-30       |N^2+        |N II      |5927.81 |1   |1.79596e-03 |-1.13749e-04|1.13082e-04 
PNG017.9-04.8|M 3-30       |O^2+        |O II      |4650.84 |2   |5.95317e-03 |-3.98802e-04|3.51119e-04 
PNG017.9-04.8|M 3-30       |O^2+        |O II      |4661.63 |2   |2.64324e-03 |-5.30548e-04|6.17834e-04 
PNG017.9-04.8|M 3-30       |O^2+        |O II      |4676.23 |1   |2.38866e-03 |-3.97857e-04|3.32207e-04 
PNG003.1+02.9|Hb 4 (shell) |He^+        |He I      |4471.50 |1   |9.91970e-02 |-9.82632e-04|9.78770e-04 
PNG003.1+02.9|Hb 4 (shell) |He^+        |He I      |5875.66 |4   |1.09493e-01 |-5.14424e-04|4.47172e-04 
PNG003.1+02.9|Hb 4 (shell) |He^+        |He I      |6678.16 |1   |8.49496e-02 |-7.72216e-04|6.31969e-04 
PNG003.1+02.9|Hb 4 (shell) |He^2+       |He II     |4685.68 |1   |1.09766e-02 |-2.78904e-05|3.11316e-05 
PNG003.1+02.9|Hb 4 (shell) |C^2+        |C II      |6151.43 |1   |5.09387e-04 |-4.52831e-05|3.45413e-05 
PNG003.1+02.9|Hb 4 (shell) |C^2+        |C II      |6461.95 |3   |3.76629e-04 |-2.50881e-05|2.45835e-05 
PNG003.1+02.9|Hb 4 (shell) |C^3+        |C III     |4647.42 |1   |3.80876e-04 |-7.61048e-05|6.49675e-05 
PNG003.1+02.9|Hb 4 (shell) |N^2+        |N II      |4442.02 |8   |6.71014e-03 |-1.43482e-03|1.32099e-03 
PNG003.1+02.9|Hb 4 (shell) |N^2+        |N II      |4459.93 |1   |4.30482e-02 |-5.11623e-03|4.07228e-03 
PNG003.1+02.9|Hb 4 (shell) |N^2+        |N II      |4621.39 |17  |2.88879e-04 |-1.02012e-04|1.15998e-04 
PNG003.1+02.9|Hb 4 (shell) |N^2+        |N II      |5676.02 |30  |4.76034e-04 |-5.67768e-05|5.80107e-05 
PNG003.1+02.9|Hb 4 (shell) |N^2+        |N II      |5931.78 |23  |1.82133e-04 |-2.87993e-05|2.31106e-05 
PNG003.1+02.9|Hb 4 (shell) |O^2+        |O II      |4610.20 |4   |5.38598e-03 |-1.06017e-03|8.96378e-04 
PNG003.1+02.9|Hb 4 (shell) |O^2+        |O II      |4641.81 |77  |7.73605e-03 |-6.98369e-04|8.13476e-04 
PNG003.1+02.9|Hb 4 (shell) |O^2+        |O II      |4661.63 |40  |8.89360e-04 |-1.92178e-04|1.57204e-04 
PNG003.1+02.9|Hb 4 (shell) |O^2+        |O II      |4669.27 |1   |1.66746e-02 |-2.99769e-03|2.83303e-03 
PNG003.1+02.9|Hb 4 (N-knot)|He^+        |He I      |5875.66 |4   |8.53572e-02 |-1.43993e-03|2.17963e-03 
PNG003.1+02.9|Hb 4 (N-knot)|He^+        |He I      |6678.16 |1   |7.22669e-02 |-9.21393e-03|1.12075e-02 
PNG003.1+02.9|Hb 4 (S-knot)|He^+        |He I      |5875.66 |1   |7.04348e-02 |-2.59202e-03|3.67296e-03 
PNG358.3-21.6|IC 1297      |He^+        |He I      |4471.50 |7   |8.69680e-02 |-1.10731e-03|1.31750e-03 
PNG358.3-21.6|IC 1297      |He^+        |He I      |5875.66 |20  |8.90978e-02 |-6.03751e-04|6.37586e-04 
PNG358.3-21.6|IC 1297      |He^+        |He I      |6678.16 |6   |5.81132e-02 |-1.01591e-03|1.00144e-03 
PNG358.3-21.6|IC 1297      |He^+        |He I      |7281.35 |1   |6.70988e-02 |-1.06022e-03|8.24756e-04 
PNG358.3-21.6|IC 1297      |He^2+       |He II     |4685.68 |1   |2.98847e-02 |-6.61565e-05|7.15323e-05 
PNG358.3-21.6|IC 1297      |C^2+        |C II      |6151.43 |1   |8.09262e-04 |-1.16268e-04|1.64206e-04 
PNG358.3-21.6|IC 1297      |C^2+        |C II      |6461.95 |3   |7.13680e-04 |-1.13815e-04|1.28054e-04 
PNG358.3-21.6|IC 1297      |C^3+        |C III     |4647.42 |1   |2.65854e-04 |-1.17622e-04|1.14901e-04 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |4552.53 |1   |6.29126e-04 |-2.45680e-04|3.07369e-04 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |4607.16 |2   |2.50878e-04 |-9.32399e-05|9.91320e-05 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |4788.13 |2   |4.74653e-04 |-1.02784e-04|1.11490e-04 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |4803.29 |3   |1.79496e-04 |-3.30515e-05|4.73651e-05 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |5666.63 |6   |1.94368e-04 |-4.22168e-05|5.16322e-05 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |5679.56 |11  |5.88299e-05 |-2.81685e-05|2.98215e-05 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |5686.21 |2   |3.75234e-04 |-9.57608e-05|9.49746e-05 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |5931.78 |2   |3.48671e-04 |-1.00355e-04|1.08709e-04 
PNG358.3-21.6|IC 1297      |N^3+        |N III     |4640.64 |1   |5.29052e-04 |-9.21477e-06|1.03566e-05 
PNG358.3-21.6|IC 1297      |O^2+        |O II      |4610.20 |1   |5.12323e-03 |-4.12955e-04|5.35043e-04 
PNG358.3-21.6|IC 1297      |O^2+        |O II      |4661.63 |12  |7.05457e-04 |-9.24055e-05|9.57636e-05 
PNG358.3-21.6|IC 1297      |O^2+        |O II      |4676.23 |7   |4.98362e-04 |-1.14243e-04|1.12164e-04 
PNG306.4-00.6|Th 2-A       |He^+        |He I      |4471.50 |1   |5.51644e-02 |-1.46805e-03|1.08294e-03 
PNG306.4-00.6|Th 2-A       |He^+        |He I      |5875.66 |4   |7.85516e-02 |-1.19384e-03|1.04525e-03 
PNG306.4-00.6|Th 2-A       |He^+        |He I      |6678.16 |1   |4.77583e-02 |-1.27116e-03|1.43740e-03 
