-------------|-------------|------------|-------|--------|------------|------------|------------
PNG          |Name         |Ion         |Type   |icf_Ref |Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|-------|--------|------------|------------|------------
PNG278.8+04.9|PB 6         |He^+/H      |ORL    |        |4.57141e-02 |-5.69650e-04|5.06504e-04 
PNG278.8+04.9|PB 6         |He^2+/H     |ORL    |        |1.02838e-01 |-3.54192e-04|3.42833e-04 
PNG278.8+04.9|PB 6         |He/H        |ORL    |        |1.48552e-01 |-7.52619e-04|8.19475e-04 
PNG278.8+04.9|PB 6         |C^2+/H      |ORL    |        |3.54578e-04 |-1.96979e-05|2.20560e-05 
PNG278.8+04.9|PB 6         |icf(C)      |ORL    |WL07    |2.93817e+00 |-8.07396e-02|1.03075e-01 
PNG278.8+04.9|PB 6         |C/H         |ORL    |WL07    |1.04181e-03 |-7.10735e-05|1.03435e-04 
PNG278.8+04.9|PB 6         |icf(C)      |ORL    |DMS14   |3.72794e+00 |-1.97766e+00|1.79293e+00 
PNG278.8+04.9|PB 6         |C/H         |ORL    |DMS14   |1.32184e-03 |-8.98884e-04|7.34619e-04 
PNG278.8+04.9|PB 6         |N^2+/H      |ORL    |        |3.45459e-03 |-1.13265e-04|9.82257e-05 
PNG278.8+04.9|PB 6         |N^3+/H      |ORL    |        |3.30987e-04 |-1.99770e-05|1.92276e-05 
PNG278.8+04.9|PB 6         |icf(N)      |ORL    |WL07    |1.13053e+00 |-7.44060e-03|7.12157e-03 
PNG278.8+04.9|PB 6         |N/H         |ORL    |WL07    |4.27971e-03 |-1.65634e-04|1.75942e-04 
PNG278.8+04.9|PB 6         |O^2+/H      |ORL    |        |6.23824e-04 |-1.56648e-04|1.24468e-04 
PNG278.8+04.9|PB 6         |icf(O)      |ORL    |WL07    |2.93817e+00 |-3.77589e-02|5.09328e-02 
PNG278.8+04.9|PB 6         |O/H         |ORL    |WL07    |1.83290e-03 |-5.02680e-04|4.96235e-04 
PNG278.8+04.9|PB 6         |N^+/H       |CEL    |        |4.37579e-05 |-1.61564e-06|1.71640e-06 
PNG278.8+04.9|PB 6         |icf(N)      |CEL    |KB94    |8.66106e+00 |-3.37046e-01|4.08213e-01 
PNG278.8+04.9|PB 6         |N/H         |CEL    |KB94    |3.78990e-04 |-2.14601e-05|3.32109e-05 
PNG278.8+04.9|PB 6         |icf(N)      |CEL    |DMS14   |7.52507e+00 |-4.42268e+00|5.81866e+00 
PNG278.8+04.9|PB 6         |N/H         |CEL    |DMS14   |3.29281e-04 |-2.08886e-04|3.01593e-04 
PNG278.8+04.9|PB 6         |O^0/H       |CEL    |        |6.57902e-06 |-2.29280e-07|2.18871e-07 
PNG278.8+04.9|PB 6         |O^+/H       |CEL    |        |4.92764e-05 |-1.42110e-06|1.64036e-06 
PNG278.8+04.9|PB 6         |O^2+/H      |CEL    |        |1.45255e-04 |-1.79515e-06|1.73751e-06 
PNG278.8+04.9|PB 6         |icf(O)      |CEL    |KB94    |2.19391e+00 |-1.97842e-02|2.26239e-02 
PNG278.8+04.9|PB 6         |O/H         |CEL    |KB94    |4.26786e-04 |-8.47015e-06|1.06526e-05 
PNG278.8+04.9|PB 6         |icf(O)      |CEL    |DMS14   |2.40186e+00 |-6.73210e-01|6.73210e-01 
PNG278.8+04.9|PB 6         |O/H         |CEL    |DMS14   |4.67238e-04 |-1.45164e-04|1.56166e-04 
PNG278.8+04.9|PB 6         |Ne^2+/H     |CEL    |        |3.81562e-05 |-8.31016e-07|1.11047e-06 
PNG278.8+04.9|PB 6         |Ne^3+/H     |CEL    |        |2.82501e-04 |-1.47692e-05|1.34168e-05 
PNG278.8+04.9|PB 6         |icf(Ne)     |CEL    |KB94    |2.93817e+00 |-6.73817e-02|1.03021e-01 
PNG278.8+04.9|PB 6         |Ne/H        |CEL    |KB94    |1.12110e-04 |-4.14029e-06|6.43008e-06 
PNG278.8+04.9|PB 6         |icf(Ne)     |CEL    |DMS14   |3.45667e+00 |-1.76462e+00|1.78926e+00 
PNG278.8+04.9|PB 6         |Ne/H        |CEL    |DMS14   |1.31893e-04 |-8.03971e-05|8.22228e-05 
