-------------|-------------|----|--------|----------|--------|----------|----|----------|-----|-----|--------|----------------|----------------|--------|--------
PNG          |Name         |Ref |Lam_lab |Ion       |Lam_obs |F(lambda) |F_Er|I(lambda) |I_Em |I_Ep |Mult    |Lower Term      |Upper Term      |g1      |g2      
-------------|-------------|----|--------|----------|--------|----------|----|----------|-----|-----|--------|----------------|----------------|--------|--------
PNG278.8+04.9|PB 6         |K91 |3726.03 |[O II]    |3726.03 |50.700    |0.0 |69.898    |-2.2 |2.6  |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG278.8+04.9|PB 6         |K91 |3728.82 |[O II]    |3728.82 |*         |    |*         |     |     |F1      |2p3 4S*         |2p3 2D*         |4       |6       
PNG278.8+04.9|PB 6         |K91 |3868.75 |[Ne III]  |3868.75 |84.000    |0.0 |112.065   |-2.0 |2.3  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG278.8+04.9|PB 6         |K91 |3889.05 |H 8       |3889.05 |11.500    |0.0 |15.266    |-1.9 |2.3  |H8      |2p+ 2P*         |8d+ 2D          |8       |*       
PNG278.8+04.9|PB 6         |K91 |3967.46 |[Ne III]  |3967.46 |30.800    |0.0 |40.079    |-1.8 |2.1  |F1      |2p4 3P          |2p4 1D          |3       |5       
PNG278.8+04.9|PB 6         |K91 |4101.74 |H 6       |4101.74 |22.500    |0.0 |28.240    |-1.5 |1.8  |H6      |2p+ 2P*         |6d+ 2D          |8       |72      
PNG278.8+04.9|PB 6         |K91 |4340.47 |H 5       |4340.47 |44.200    |0.0 |51.795    |-1.0 |1.3  |H5      |2p+ 2P*         |5d+ 2D          |8       |50      
PNG278.8+04.9|PB 6         |K91 |4363.21 |[O III]   |4363.21 |17.100    |0.0 |19.904    |-1.0 |1.3  |F2      |2p2 1D          |2p2 1S          |5       |1       
PNG278.8+04.9|PB 6         |D21 |4452.37 |O II      |4453.76 |0.053     |16.7|0.060     |-22.8|20.9 |V5      |3s 2P           |3p 2D*          |4       |4       
PNG278.8+04.9|PB 6         |D21 |4471.50 |He I      |4472.51 |2.061     |1.5 |2.322     |-2.2 |2.2  |V14     |2p 3P*          |4d 3D           |9       |15      
PNG278.8+04.9|PB 6         |D21 |4491.23 |O II      |4493.19 |0.019     |23.1|0.021     |-31.2|28.7 |V86a    |3d 2P           |4f D3*          |4       |6       
