-------------|-------------|-----|----------|----------------------------------------|----------|----------|----------
PNG          |Name         |Type |Ion       |Diagnostic                              |Value     |Value_Em  |Value_Ep  
-------------|-------------|-----|----------|----------------------------------------|----------|----------|----------
PNG278.8+04.9|PB 6         |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |11300     |-260      |200       
PNG278.8+04.9|PB 6         |Te_rc|[N II]    |(6548.10+6583.50)/(5754.60)             |10270     |-220      |220       
PNG278.8+04.9|PB 6         |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |14220     |-90       |110       
PNG278.8+04.9|PB 6         |Te_rc|[O III]   |(4958.91+5006.84)/(4363.21)             |14040     |-130      |90        
PNG278.8+04.9|PB 6         |Ne   |[S II]    |(6730.82)/(6716.44)                     |1800      |-320      |400       
PNG278.8+04.9|PB 6         |Ne   |[Ar IV]   |(4740.17)/(4711.37)                     |1370      |-100      |70        
PNG278.8+04.9|PB 6         |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |2190      |-270      |390       
PNG017.9-04.8|M 3-30       |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |8880      |-180      |170       
PNG017.9-04.8|M 3-30       |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |10610     |-40       |30        
PNG017.9-04.8|M 3-30       |Te_rc|[O III]   |(4958.91+5006.84)/(4363.21)             |9170      |-30       |30        
PNG017.9-04.8|M 3-30       |Ne   |[S II]    |(6730.82)/(6716.44)                     |700       |-60       |50        
PNG017.9-04.8|M 3-30       |Ne   |[O II]    |(3728.82)/(3726.03)                     |1120      |-60       |50        
PNG017.9-04.8|M 3-30       |Ne   |[Ar IV]   |(4740.17)/(4711.37)                     |540       |-300      |310          
PNG003.1+02.9|Hb 4 (shell) |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |10390     |-60       |70        
PNG003.1+02.9|Hb 4 (shell) |Te_rc|[N II]    |(6548.10+6583.50)/(5754.60)             |9410      |-40       |50        
PNG003.1+02.9|Hb 4 (shell) |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |9330      |-10       |10        
PNG003.1+02.9|Hb 4 (shell) |Te_rc|[O III]   |(4958.91+5006.84)/(4363.21)             |9180      |-10       |20        
PNG003.1+02.9|Hb 4 (shell) |Ne   |[S II]    |(6730.82)/(6716.44)                     |4440      |-230      |180       
PNG003.1+02.9|Hb 4 (shell) |Ne   |[O II]    |(3728.82)/(3726.03)                     |1960      |-70       |60        
PNG003.1+02.9|Hb 4 (shell) |Ne   |[Ar IV]   |(4740.17)/(4711.37)                     |5590      |-460      |510       
PNG003.1+02.9|Hb 4 (shell) |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |4130      |-450      |380       
PNG003.1+02.9|Hb 4 (N-knot)|Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |9860      |-670      |610       
PNG003.1+02.9|Hb 4 (N-knot)|Ne   |[S II]    |(6730.82)/(6716.44)                     |1250      |-340      |480       
PNG003.1+02.9|Hb 4 (S-knot)|Ne   |[S II]    |(6730.82)/(6716.44)                     |890       |-300      |290       
PNG358.3-21.6|IC 1297      |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |9510      |-160      |130       
PNG358.3-21.6|IC 1297      |Te_rc|[N II]    |(6548.10+6583.50)/(5754.60)             |9160      |-160      |170       
PNG358.3-21.6|IC 1297      |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |10460     |-20       |30        
PNG358.3-21.6|IC 1297      |Te_rc|[O III]   |(4958.91+5006.84)/(4363.21)             |10400     |-30       |20        
PNG358.3-21.6|IC 1297      |Ne   |[S II]    |(6730.82)/(6716.44)                     |2400      |-210      |240       
PNG358.3-21.6|IC 1297      |Ne   |[Ar IV]   |(4740.17)/(4711.37)                     |1780      |-340      |290       
PNG358.3-21.6|IC 1297      |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |1960      |-340      |430       
PNG306.4-00.6|Th 2-A       |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |10300     |-210      |200       
PNG306.4-00.6|Th 2-A       |Te_rc|[N II]    |(6548.10+6583.50)/(5754.60)             |9060      |-140      |180       
PNG306.4-00.6|Th 2-A       |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |12420     |-60       |50        
PNG306.4-00.6|Th 2-A       |Te_rc|[O III]   |(4958.91+5006.84)/(4363.21)             |11740     |-60       |60        
PNG306.4-00.6|Th 2-A       |Te   |[S III]   |(9068.60)/(6312.10)                     |11860     |-240      |350       
PNG306.4-00.6|Th 2-A       |Ne   |[S II]    |(6730.82)/(6716.44)                     |1430      |-190      |250       
PNG285.4+01.5|Pe 1-1       |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |10170     |-130      |120       
PNG285.4+01.5|Pe 1-1       |Te_rc|[N II]    |(6548.10+6583.50)/(5754.60)             |9190      |-100      |120       
PNG285.4+01.5|Pe 1-1       |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |10240     |-10       |10        
PNG285.4+01.5|Pe 1-1       |Te   |[S III]   |(9068.60)/(6312.10)                     |10160     |-200      |180       
PNG285.4+01.5|Pe 1-1       |Ne   |[S II]    |(6730.82)/(6716.44)                     |15580     |-1910     |1750      
PNG285.4+01.5|Pe 1-1       |Ne   |[O II]    |(3728.82)/(3726.03)                     |14280     |-860      |840       
PNG011.9+04.2|M 1-32       |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |8790      |-150      |150       
PNG011.9+04.2|M 1-32       |Te_rc|[N II]    |(6548.10+6583.50)/(5754.60)             |8480      |-150      |140       
PNG011.9+04.2|M 1-32       |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |9250      |-40       |50        
PNG011.9+04.2|M 1-32       |Ne   |[S II]    |(6730.82)/(6716.44)                     |4840      |-1080     |1780      
PNG011.9+04.2|M 1-32       |Ne   |[O II]    |(3728.82)/(3726.03)                     |6200      |-990      |1040      
PNG011.9+04.2|M 1-32       |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |3930      |-710      |600       
PNG006.8+04.1|M 3-15       |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |7700      |-350      |310       
PNG006.8+04.1|M 3-15       |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |8590      |-10       |10        
PNG006.8+04.1|M 3-15       |Ne   |[S II]    |(6730.82)/(6716.44)                     |6010      |-800      |1200      
PNG006.8+04.1|M 3-15       |Ne   |[O II]    |(3728.82)/(3726.03)                     |12270     |-970      |1490      
PNG006.8+04.1|M 3-15       |Ne   |[Ar IV]   |(4740.17)/(4711.37)                     |5540      |-3610     |6470      
PNG004.9+04.9|M 1-25       |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |7880      |-70       |70        
PNG004.9+04.9|M 1-25       |Te_rc|[N II]    |(6548.10+6583.50)/(5754.60)             |6950      |-90       |80        
PNG004.9+04.9|M 1-25       |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |8040      |-10       |10        
PNG004.9+04.9|M 1-25       |Te   |[Ar III]  |(7135.80+7751.43)/(5191.82)             |7710      |-1060     |890       
PNG004.9+04.9|M 1-25       |Ne   |[S II]    |(6730.82)/(6716.44)                     |6120      |-370      |490       
