-------------|-------------|-----|----------|-------------------------------------------------------------------------------------|----------|----------|----------
PNG          |Name         |Type |Ion       |Diagnostic                                                                           |Value     |Value_Em  |Value_Ep  
-------------|-------------|-----|----------|-------------------------------------------------------------------------------------|----------|----------|----------
PNG278.8+04.9|PB 6         |Te   |N II      |(4613.87,4788.13,5676.02,5931.78)                                                    |6300      |-3100     |9700      
PNG278.8+04.9|PB 6         |Ne   |N II      |(4613.87,4788.13,5676.02,5931.78)                                                    |80600     |-79900    |0         
PNG017.9-04.8|M 3-30       |Te   |N II      |(4601.48,5927.81)                                                                    |6700      |-1300     |3100      
PNG017.9-04.8|M 3-30       |Ne   |N II      |(4601.48,5927.81)                                                                    |80600     |-53200    |0         
PNG003.1+02.9|Hb 4 (shell) |Te   |O II      |(4610.20,4641.81,4661.63,4669.27)                                                    |2100      |-1500     |22200     
PNG003.1+02.9|Hb 4 (shell) |Ne   |O II      |(4610.20,4641.81,4661.63,4669.27)                                                    |80600     |-78900    |0         
PNG003.1+02.9|Hb 4 (shell) |Te   |N II      |(4442.02,4459.93,4621.39,5676.02,5931.78)                                            |6300      |-3000     |10400     
PNG003.1+02.9|Hb 4 (shell) |Ne   |N II      |(4442.02,4459.93,4621.39,5676.02,5931.78)                                            |80600     |-79700    |0         
PNG358.3-21.6|IC 1297      |Te   |C II      |(6151.43,6461.95)                                                                    |7500      |-2100     |5800      
PNG358.3-21.6|IC 1297      |Te   |O II      |(4610.20,4661.63,4676.23)                                                            |700       |-300      |24100     
PNG358.3-21.6|IC 1297      |Ne   |O II      |(4610.20,4661.63,4676.23)                                                            |80600     |-80000    |0         
PNG358.3-21.6|IC 1297      |Te   |N II      |(4552.53,4607.16,4788.13,4803.29,5666.63,5679.56,5686.21,5931.78)                    |6700      |-3300     |13200     
PNG358.3-21.6|IC 1297      |Ne   |N II      |(4552.53,4607.16,4788.13,4803.29,5666.63,5679.56,5686.21,5931.78)                    |100       |0         |1000      
PNG306.4-00.6|Th 2-A       |Te   |N II      |(4432.73,4788.13,4803.29,5676.02,5679.56,5710.77,5931.78)                            |6700      |-3300     |15200     
PNG306.4-00.6|Th 2-A       |Ne   |N II      |(4432.73,4788.13,4803.29,5676.02,5679.56,5710.77,5931.78)                            |100       |0         |2400      
PNG285.4+01.5|Pe 1-1       |Te   |C II      |(6151.43,6461.95)                                                                    |8800      |-500      |600       
PNG285.4+01.5|Pe 1-1       |Te   |N II      |(4432.73,4788.13,5931.78,5941.65)                                                    |6600      |-3000     |10600     
PNG285.4+01.5|Pe 1-1       |Ne   |N II      |(4432.73,4788.13,5931.78,5941.65)                                                    |80600     |-79700    |0         
PNG011.9+04.2|M 1-32       |Te   |C II      |(6151.43,6461.95)                                                                    |6300      |-100      |100       
PNG011.9+04.2|M 1-32       |Te   |N II      |(4552.53,4601.48,4788.13,5686.21,5710.77)                                            |700       |-200      |1600      
PNG011.9+04.2|M 1-32       |Ne   |N II      |(4552.53,4601.48,4788.13,5686.21,5710.77)                                            |27400     |-26300    |53200     
PNG006.8+04.1|M 3-15       |Te   |N II      |(4643.09,4803.29,5710.77)                                                            |6600      |-2600     |9700      
PNG006.8+04.1|M 3-15       |Ne   |N II      |(4643.09,4803.29,5710.77)                                                            |80600     |-79500    |0         
PNG010.8-01.8|NGC 6578     |Te   |C II      |(6151.43,6461.95)                                                                    |1300      |0         |0         
PNG010.8-01.8|NGC 6578     |Te   |O II      |(4477.90,4491.23,4602.13,4661.63,4890.86)                                            |2100      |-900      |17300     
PNG010.8-01.8|NGC 6578     |Ne   |O II      |(4477.90,4491.23,4602.13,4661.63,4890.86)                                            |80600     |-78000    |0         
PNG010.8-01.8|NGC 6578     |Te   |N II      |(4432.73,4788.13,5676.02,5686.21,5927.81,5941.65)                                    |6600      |-3200     |12800     
PNG010.8-01.8|NGC 6578     |Ne   |N II      |(4432.73,4788.13,5676.02,5686.21,5927.81,5941.65)                                    |80600     |-80100    |0         
PNG008.2-04.8|M 2-42       |Te   |C II      |(6151.43,6461.95)                                                                    |1600      |-100      |100       
PNG008.2-04.8|M 2-42       |Te   |O II      |(4477.90,4491.23,4602.13,4609.44,4661.63,4673.73)                                    |2100      |-900      |22700     
PNG008.2-04.8|M 2-42       |Ne   |O II      |(4477.90,4491.23,4602.13,4609.44,4661.63,4673.73)                                    |80600     |-78900    |0         
PNG008.2-04.8|M 2-42       |Te   |N II      |(4607.16,4788.13,5710.77)                                                            |800       |-300      |1700      
PNG008.2-04.8|M 2-42       |Ne   |N II      |(4607.16,4788.13,5710.77)                                                            |34000     |-33400    |46600     
PNG011.7-00.6|NGC 6567     |Te   |C II      |(6151.43,6461.95)                                                                    |1900      |0         |0         
PNG358.0-04.6|Sa 3-107     |Te   |C II      |(6151.43,6461.95)                                                                    |5500      |-100      |100       
